depth_index,Beech_Soil,Spruce_Soil,Beech_Tree,Spruce_Tree,Beech_Tree_Profile,Spruce_Tree_Profile
45,0.016540659827485236,1.443828888208378e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
46,0.016414553138491633,1.4215918540339296e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
47,0.016289961459239007,1.4002035262554631e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
48,0.016166848878249755,1.379617560429835e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
49,0.016045180126152886,1.3597906734647197e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
50,0.013517503666584964,8.87731664726906e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
51,0.013419037096412447,8.874576510638233e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
52,0.013321044132839297,8.871838088002824e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
53,0.01322350227516794,8.869101377866254e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
54,0.013126388997934378,8.866366378733575e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
55,0.013029681737915251,8.863633089111494e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
56,0.012933357880960998,8.860901507508335e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
57,0.012837394748640053,8.858171632433999e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
58,0.012741769584677742,8.855443462400032e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
59,0.01264645954117414,8.852716995919602e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
60,0.009353049825638537,8.565806960099557e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
61,0.009274104693726993,8.565849584436748e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
62,0.009194542797316557,8.56589227641378e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
63,0.009114338930491716,8.565935036028675e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
64,0.009033467236774777,8.565977863279584e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
65,0.008951901184525355,8.566020758164589e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
66,0.00886961354135081,8.566063720681813e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
67,0.00878657634748099,8.566106750829328e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
68,0.008702760888058192,8.566149848605276e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
69,0.008618137664290584,8.566193014007747e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
70,0.008532676363414732,8.566236247034851e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
71,0.005472037232326478,8.404772228761523e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
72,0.005392284550470794,8.405895353946163e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
73,0.005311054045015473,8.407018679552311e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
74,0.0052283039369998225,8.408142205622933e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
75,0.005143991091124155,8.409265932200977e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
76,0.005058070963192398,8.410389859329477e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
77,0.0049704975452001055,8.411513987051422e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
78,0.004881223307947722,8.412638315409818e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
79,0.004790199141051982,8.41376284444772e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
80,0.0005056726128379037,8.20250846816923e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
81,0.0004163523754852421,8.204998867502667e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
82,0.0003249039731015468,8.207490113409267e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
83,0.00023126889853207212,8.209982206211631e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
84,0.0001353867056607832,8.212475146232516e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
85,3.7194933411624885e-05,8.214968933794804e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
86,6.337097370126237e-05,8.217463569221498e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
