b1_org,b2_org,b3_org,b1_min,b2_min,b3_min,albedo,log10_alpha_org,n_org,log10_K_org,log10_alpha_min,n_min,log10_K_min,log10_S_max,error,error_heat,error_moist
0.68,0.02,0.02,1.3399999999999999,5.34,4.006666666666667,0.21666666666666667,1.0,3.166666666666667,-6.333333333333333,0.0,2.0,-8.0,-6.0,,,
0.68,0.02,0.02,1.3399999999999999,5.34,4.006666666666667,0.21666666666666667,1.0,5.0,-6.333333333333333,0.0,2.0,-8.0,-6.0,,,
0.68,0.02,0.02,1.3399999999999999,5.34,4.006666666666667,0.21666666666666667,1.0,5.0,-6.333333333333333,0.0,1.3666666666666667,-8.0,-6.0,,,
0.68,0.02,0.02,1.3399999999999999,5.34,4.006666666666667,0.21666666666666667,1.0,5.0,-6.333333333333333,0.6666666666666666,1.3666666666666667,-8.0,-6.0,,,
0.68,5.34,0.02,1.3399999999999999,5.34,4.006666666666667,0.21666666666666667,1.0,5.0,-6.333333333333333,0.6666666666666666,1.3666666666666667,-8.0,-6.0,,,
0.68,5.34,0.02,1.3399999999999999,5.34,4.006666666666667,0.21666666666666667,1.0,5.0,-6.333333333333333,0.6666666666666666,1.3666666666666667,-8.0,-8.0,4.845133554025409,3.0132335159682797,3.7941722331212553
0.68,5.34,0.02,1.3399999999999999,5.34,4.006666666666667,0.21666666666666667,1.0,5.0,-3.0,0.6666666666666666,1.3666666666666667,-8.0,-8.0,4.810289104796798,2.985015724549257,3.77207666888154
0.68,5.34,0.02,0.02,5.34,4.006666666666667,0.21666666666666667,1.0,5.0,-3.0,0.6666666666666666,1.3666666666666667,-8.0,-8.0,4.758536097066754,2.9192881109001054,3.757848149226441
0.68,5.34,0.02,0.02,5.34,0.02,0.21666666666666667,1.0,5.0,-3.0,0.6666666666666666,1.3666666666666667,-8.0,-8.0,4.6098835452667535,2.687068329657087,3.74575627779959
2.0,5.34,6.0,2.0,0.02,6.0,0.05,0.6666666666666666,2.25,-4.666666666666667,1.0,1.05,-8.0,-6.0,,,
2.0,5.34,6.0,2.0,0.02,2.0133333333333336,0.05,0.6666666666666666,2.25,-4.666666666666667,1.0,1.05,-8.0,-6.0,,,
2.0,5.34,6.0,2.0,0.02,2.0133333333333336,0.05,0.6666666666666666,2.25,-4.666666666666667,1.0,1.05,-4.666666666666667,-6.0,,,
2.0,5.34,6.0,2.0,0.02,2.0133333333333336,0.05,0.6666666666666666,4.083333333333333,-4.666666666666667,1.0,1.05,-4.666666666666667,-6.0,,,
2.0,0.02,6.0,2.0,0.02,2.0133333333333336,0.05,0.6666666666666666,4.083333333333333,-4.666666666666667,1.0,1.05,-4.666666666666667,-6.0,,,
2.0,0.02,6.0,2.0,0.02,2.0133333333333336,0.05,0.6666666666666666,4.083333333333333,-8.0,1.0,1.05,-4.666666666666667,-6.0,,,
2.0,0.02,6.0,0.68,0.02,2.0133333333333336,0.05,0.6666666666666666,4.083333333333333,-8.0,1.0,1.05,-4.666666666666667,-6.0,,,
2.0,0.02,6.0,0.68,0.02,2.0133333333333336,0.05,0.6666666666666666,4.083333333333333,-8.0,0.33333333333333337,1.05,-4.666666666666667,-6.0,,,
2.0,0.02,2.0133333333333336,0.68,0.02,2.0133333333333336,0.05,0.6666666666666666,4.083333333333333,-8.0,0.33333333333333337,1.05,-4.666666666666667,-6.0,,,
2.0,0.02,2.0133333333333336,0.68,0.02,2.0133333333333336,0.21666666666666667,0.6666666666666666,4.083333333333333,-8.0,0.33333333333333337,1.05,-4.666666666666667,-6.0,,,
2.0,0.02,2.0133333333333336,0.68,5.34,2.0133333333333336,0.21666666666666667,0.6666666666666666,4.083333333333333,-8.0,0.33333333333333337,1.05,-4.666666666666667,-6.0,,,
2.0,0.02,2.0133333333333336,0.68,5.34,2.0133333333333336,0.21666666666666667,0.6666666666666666,4.083333333333333,-8.0,0.33333333333333337,1.05,-4.666666666666667,-8.0,,,
2.0,0.02,2.0133333333333336,0.68,5.34,2.0133333333333336,0.21666666666666667,0.6666666666666666,4.083333333333333,-8.0,0.33333333333333337,1.6833333333333333,-4.666666666666667,-8.0,4.89468930830352,3.495518596859207,3.4262710289514806
2.0,0.02,2.0133333333333336,0.68,5.34,2.0133333333333336,0.21666666666666667,0.0,4.083333333333333,-8.0,0.33333333333333337,1.6833333333333333,-4.666666666666667,-8.0,4.868623166683046,3.4608125126549973,3.424363925083527
0.68,0.02,2.0133333333333336,0.68,5.34,2.0133333333333336,0.21666666666666667,0.0,4.083333333333333,-8.0,0.33333333333333337,1.6833333333333333,-4.666666666666667,-8.0,4.64360088296881,3.1363631379924386,3.424362046710444
